email,Year,Company,Code of Ethics,Whistleblower Policy,Cyber Security Policy,Conflict of Interest Policy,Regulatory Policy,Certifications of Industry Standards,% Trained on Cyber Security,Describe Sustainability Progam,% Trained on Sustainability,% Locations ISO Certified,How many sites need environmental remediation,Maternity/Paternity Leave Offered,Education Benefits Offered,% Company Emplyoyee Owned,How many employees in a Union,Do you provide volunteer opportunities,How many total hours volunteered,Do you provide donation matching,Dollar amount of matching donation,Did the company make any donations,Dollar amount of company donations,Directors on Board,Women Directors,POC Directors,Independent Directors,Audi Committee Active,Compensation Committee Active,ESG Committee Active,Number of Leaders at VP Level or above,Number of Women leaders,Number of POC leaders,Number of Latinx leaders,Health Insurance Offered,Paid Sick Leave Offered,Retirement Savings Offered
laleswell0@privacy.gov.au,09/05/2020,ACME,Yes,Yes,Yes,Yes,Yes,No,0.4154,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,0.7359,0.2811,3,Yes,No,0.9681,80,No,2287,Yes,49887,No,38805,9,9,5,4,Yes,No,Yes,8,18,6,16,No,No,Yes
mlobb1@fema.gov,04/09/2022,BCME,No,Yes,No,No,Yes,No,0.6817,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",0.2693,0.925,0,Yes,No,0.3739,17,Yes,2957,No,16313,No,94450,1,6,6,10,Yes,No,No,11,1,10,3,Yes,Yes,No
ebaynton2@google.ru,02/12/2022,BCME,Yes,No,No,No,Yes,No,0.4837,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",0.5727,0.0614,2,Yes,No,0.2251,25,No,8053,Yes,14994,No,48852,5,12,4,3,Yes,Yes,Yes,19,17,2,2,No,Yes,No
kughi3@topsy.com,04/07/2022,BCME,Yes,No,No,Yes,Yes,No,0.289,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",0.9388,0.3197,5,No,Yes,0.8624,58,No,2476,No,53941,Yes,62989,12,9,10,3,Yes,No,Yes,7,6,18,1,No,Yes,No
ejolly4@forbes.com,03/21/2020,CCME,No,Yes,No,No,Yes,Yes,0.9693,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",0.77,0.0286,4,No,Yes,0.9989,31,No,4015,No,73618,Yes,30267,6,8,10,12,No,No,No,19,4,5,5,No,No,No
bsange5@samsung.com,10/13/2022,CCME,No,No,No,Yes,Yes,No,0.4095,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,0.5318,0.1856,1,Yes,Yes,0.0412,27,Yes,3994,No,41298,No,70223,4,11,8,9,No,Yes,Yes,10,7,12,16,No,Yes,Yes
anoriega6@netscape.com,01/23/2022,BCME,Yes,Yes,Yes,Yes,No,No,0.9423,Fusce consequat. Nulla nisl. Nunc nisl.,0.7941,0.3567,4,No,Yes,0.7593,72,No,4243,No,32480,Yes,39287,11,5,7,5,Yes,Yes,No,19,3,12,0,Yes,No,Yes
ttregear7@flavors.me,10/16/2021,ACME,Yes,Yes,Yes,No,Yes,No,0.5023,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",0.278,0.8178,1,Yes,No,0.5548,88,Yes,3946,Yes,77013,Yes,47955,4,6,6,3,No,Yes,Yes,2,8,2,13,No,No,No
lgorke8@icq.com,02/03/2022,BCME,Yes,No,No,Yes,Yes,Yes,0.0237,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0.1722,0.2941,0,Yes,Yes,0.4095,33,Yes,4003,Yes,72880,No,15833,4,4,0,1,Yes,Yes,No,14,3,17,9,No,Yes,Yes
gcorden9@ow.ly,07/13/2022,ACME,Yes,No,No,No,No,No,0.3052,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",0.3353,0.5117,0,No,No,0.2637,82,No,7114,No,34314,No,27877,12,4,4,4,No,Yes,Yes,1,16,4,10,Yes,Yes,Yes
jhefferona@tripod.com,08/13/2022,ACME,No,Yes,Yes,Yes,Yes,Yes,0.679,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",0.2938,0.5472,1,Yes,No,0.2813,100,No,6882,No,9706,No,44093,12,5,4,11,No,No,No,16,20,3,9,Yes,Yes,No
rabdonb@symantec.com,04/14/2021,BCME,No,Yes,Yes,No,Yes,Yes,0.0626,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.

Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.",0.8399,0.1726,1,Yes,Yes,0.3862,81,Yes,9548,No,22150,No,44125,11,5,12,1,Yes,No,Yes,14,12,10,2,No,Yes,Yes
jmarkosc@sbwire.com,12/07/2022,ACME,Yes,No,No,Yes,Yes,No,0.7337,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0.2851,0.6555,3,Yes,Yes,0.9326,34,Yes,3100,Yes,62640,No,59072,6,0,10,11,No,Yes,No,10,8,19,3,No,No,Yes
ebaseked@vistaprint.com,02/28/2021,BCME,Yes,Yes,Yes,No,Yes,No,0.8798,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",0.2043,0.5844,3,Yes,No,0.4567,64,No,9887,No,72334,Yes,32710,4,1,3,10,No,Yes,Yes,12,10,13,11,No,Yes,No
rhenzleye@msu.edu,09/24/2020,ACME,Yes,Yes,No,No,Yes,No,0.8941,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",0.5311,0.3712,2,Yes,No,0.5817,33,No,4916,No,32170,No,52483,3,7,0,10,No,No,Yes,12,5,5,0,No,Yes,No
